date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:12	836807/836807	---M--	200	added ('OK')	application/pdf	etag:%225c507d10-cc4c7%22	http://ccvcl.org/wp-content/uploads/2019/01/WACV02.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/WACV02.pdf	(from http://ccvcl.org/publications/)
20:20:20	52433/52433	---M--	200	added ('OK')	application/pdf	etag:%225c507d15-ccd1%22	http://ccvcl.org/wp-content/uploads/2019/01/wihave02.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/wihave02.pdf	(from http://ccvcl.org/publications/)
20:21:26	2905485/2905485	---M--	200	added ('OK')	application/pdf	etag:%225c507cd5-2c558d%22	http://ccvcl.org/wp-content/uploads/2019/01/IVR04-LTZ-extended.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/IVR04-LTZ-extended.pdf	(from http://ccvcl.org/publications/)
20:24:57	4022714/4022714	---M--	200	added ('OK')	application/pdf	etag:%225c507d0b-3d61ba%22	http://ccvcl.org/wp-content/uploads/2019/01/tpami117016.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/tpami117016.pdf	(from http://ccvcl.org/publications/)
20:26:33	3291882/3291882	---M--	200	added ('OK')	application/pdf	etag:%225c507d0e-323aea%22	http://ccvcl.org/wp-content/uploads/2019/01/vr-zhu.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/vr-zhu.pdf	(from http://ccvcl.org/publications/)
20:28:54	3174324/3174324	---M--	200	added ('OK')	application/pdf	etag:%225c507d25-306fb4%22	http://ccvcl.org/wp-content/uploads/2019/01/zOmniStereo01.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/zOmniStereo01.pdf	(from http://ccvcl.org/publications/)
20:30:01	1875343/1875343	---M--	200	added ('OK')	application/pdf	etag:%225c507cd6-1c9d8f%22	http://ccvcl.org/wp-content/uploads/2019/01/LAMP_ICCV01.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/LAMP_ICCV01.pdf	(from http://ccvcl.org/publications/)
20:30:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Oct%202024%2000:30:01%20GMT	http://ccvcl.org/wp-content/uploads/2019/01/ZhuASPRS01.ps	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/ZhuASPRS01.cb.delayed	(from http://ccvcl.org/publications/)
20:31:00	3551513/3551513	---M--	200	added ('OK')	application/pdf	etag:%225c507ce7-363119%22	http://ccvcl.org/wp-content/uploads/2019/01/PRISM_ICCV01.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/PRISM_ICCV01.pdf	(from http://ccvcl.org/publications/)
20:32:27	533391/533391	---M--	200	added ('OK')	application/pdf	etag:%225c507cd3-8238f%22	http://ccvcl.org/wp-content/uploads/2019/01/ivcj00.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/ivcj00.pdf	(from http://ccvcl.org/publications/)
20:32:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Oct%202024%2000:32:27%20GMT	http://ccvcl.org/wp-content/uploads/2019/01/zOmniVis2000.ps	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/zOmniVis2000.ce.delayed	(from http://ccvcl.org/publications/)
20:34:55	909006/909006	---M--	200	added ('OK')	application/pdf	etag:%225c507d16-ddece%22	http://ccvcl.org/wp-content/uploads/2019/01/wsas2000.pdf	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/wsas2000.pdf	(from http://ccvcl.org/publications/)
20:34:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Oct%202024%2000:34:55%20GMT	http://ccvcl.org/wp-content/uploads/2019/01/zhudcv99.ps	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/zhudcv99.d0.delayed	(from http://ccvcl.org/publications/)
20:34:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Oct%202024%2000:34:55%20GMT	http://ccvcl.org/wp-content/uploads/2019/01/cvpr99.ps	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/cvpr99.ps	(from http://ccvcl.org/publications/)
20:34:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Oct%202024%2000:34:55%20GMT	http://ccvcl.org/wp-content/uploads/2019/01/zicmcs99.ps	D:/CCvclweb/CCvcl/ccvcl.org/wp-content/uploads/2019/01/zicmcs99.ps	(from http://ccvcl.org/publications/)
